Date	User	Tweet	sentiment
2024-01-20 06:57:00+00:00	user_generated_852	menolak aturan ppkm yang ketat	2
2024-05-25 10:00:00+00:00	user_generated_792	masyarakat menderita akibat ppkm yang ada	2
2024-05-15 15:04:00+00:00	user_generated_289	tidak mendukung aturan ppkm	2
2024-10-28 08:39:00+00:00	user_generated_706	ekonomi hancur karena ppkm	2
2024-04-06 13:30:00+00:00	user_generated_1329	ppkm membuat lapangan kerja hilang	2
2024-08-08 12:48:00+00:00	user_generated_654	ppkm bikin rakyat kelaparan	2
2024-12-28 03:05:00+00:00	user_generated_522	ppkm membuat rakyat menderita 😡	2
2024-01-15 16:12:00+00:00	user_generated_461	sangat tidak setuju dengan kebijakan ppkm 😭	2
2024-09-29 09:16:00+00:00	user_generated_930	kebijakan ppkm menyengsarakan masyarakat	2
2024-10-24 13:53:00+00:00	user_generated_1034	rakyat menderita karena ppkm	2
2024-06-19 02:35:00+00:00	user_generated_29	ppkm bikin orang menderita	2
2024-09-23 01:42:00+00:00	user_generated_240	ppkm hancurkan ekonomi	2
2024-11-27 18:08:00+00:00	user_generated_798	ppkm bikin segalanya sulit	2
2024-03-02 09:58:00+00:00	user_generated_817	menolak kebijakan ppkm 😞	2
2024-02-29 03:05:00+00:00	user_generated_65	sudah lelah dengan ppkm yang ada	2
2024-12-27 19:34:00+00:00	user_generated_601	saya tidak setuju dengan kebijakan ppkm	2
2024-04-02 21:06:00+00:00	user_generated_924	ppkm bikin ekonomi hancur	2
2024-01-20 15:03:00+00:00	user_generated_754	buruk kebijakan ppkm ini	2
2024-07-15 16:40:00+00:00	user_generated_926	pedagang bangkrut karena ppkm	2
2024-01-19 16:08:00+00:00	user_generated_1101	pedagang menderita karena ppkm	2
2024-02-13 07:16:00+00:00	user_generated_247	kebijakan ppkm sangat tidak adil	2
2024-09-18 00:59:00+00:00	user_generated_277	usaha saya bangkrut karena ppkm tersebut	2
2024-03-12 08:32:00+00:00	user_generated_1402	ppkm bikin orang menderita	2
2024-03-09 10:28:00+00:00	user_generated_1066	masyarakat menderita akibat ppkm 😤	2
2024-08-16 13:15:00+00:00	user_generated_479	ppkm menyengsarakan rakyat sekali	2
2024-05-02 20:00:00+00:00	user_generated_426	usaha hancur gara gara ppkm 😭	2
2024-05-06 03:15:00+00:00	user_generated_123	usaha hancur gara gara ppkm sekarang 😢	2
2024-03-11 23:54:00+00:00	user_generated_1169	ppkm tidak adil untuk pedagang sekarang	2
2024-02-09 04:38:00+00:00	user_generated_394	ppkm membuat lapangan kerja hilang	2
2024-06-30 03:42:00+00:00	user_generated_985	ppkm merugikan rakyat	2
2024-06-18 18:41:00+00:00	user_generated_715	masyarakat menderita akibat ppkm	2
2024-05-09 07:44:00+00:00	user_generated_1134	saya menolak ppkm benar-benar	2
2024-08-17 11:32:00+00:00	user_generated_1084	tidak mendukung ppkm yang ada 💔	2
2024-03-12 03:42:00+00:00	user_generated_497	ppkm membuat usaha tutup	2
2024-09-21 23:47:00+00:00	user_generated_44	ppkm menambah pengangguran banget	2
2024-07-09 01:32:00+00:00	user_generated_59	ppkm menambah pengangguran	2
2024-08-14 13:59:00+00:00	user_generated_1161	ppkm bikin banyak orang kehilangan penghasilan	2
2024-12-10 21:59:00+00:00	user_generated_23	sangat tidak mendukung ppkm	2
2024-05-11 05:42:00+00:00	user_generated_874	menolak keras ppkm sekarang	2
2024-03-30 12:08:00+00:00	user_generated_481	ppkm bikin rakyat kelaparan yang ada 😡	2
2024-09-17 03:47:00+00:00	user_generated_1324	ppkm membuat ekonomi semakin sulit	2
2024-03-19 21:55:00+00:00	user_generated_745	tidak mendukung aturan ppkm 😞	2
2024-09-13 02:40:00+00:00	user_generated_231	ppkm tidak berhasil	2
2024-03-10 17:28:00+00:00	user_generated_124	ekonomi hancur karena ppkm	2
2024-12-14 20:35:00+00:00	user_generated_427	ppkm berdampak buruk 😢	2
2024-09-07 16:40:00+00:00	user_generated_818	ppkm tidak berhasil	2
2024-01-14 16:05:00+00:00	user_generated_168	sangat buruk dampak ppkm tersebut	2
2024-06-10 22:38:00+00:00	user_generated_115	kebijakan ppkm menyengsarakan masyarakat	2
2024-04-30 01:41:00+00:00	user_generated_1088	tidak mendukung ppkm	2
2024-10-29 07:20:00+00:00	user_generated_986	ppkm merugikan rakyat	2
2024-04-02 21:11:00+00:00	user_generated_1395	ekonomi rusak karena ppkm	2
2024-10-07 17:21:00+00:00	user_generated_1424	ppkm bikin hidup susah 😤	2
2024-04-18 07:10:00+00:00	user_generated_415	ppkm bikin segalanya sulit 😭	2
2024-03-24 20:21:00+00:00	user_generated_141	ppkm menyengsarakan pedagang banget 😤	2
2024-11-27 16:15:00+00:00	user_generated_1233	ppkm menambah pengangguran ini 😡	2
2024-10-12 18:58:00+00:00	user_generated_1293	tidak mendukung aturan ppkm	2
2024-07-03 20:33:00+00:00	user_generated_762	hidup makin susah karena ppkm	2
2024-11-03 12:17:00+00:00	user_generated_1206	hidup makin susah karena ppkm yang ada	2
2024-04-16 07:41:00+00:00	user_generated_462	ppkm membuat ekonomi semakin sulit	2
2024-09-02 17:32:00+00:00	user_generated_1243	rakyat menderita karena ppkm ini	2
2024-10-03 02:06:00+00:00	user_generated_78	bangkrut gara gara ppkm sekali 😭	2
2024-04-04 11:28:00+00:00	user_generated_1004	ppkm bikin banyak orang kehilangan penghasilan 💔	2
2024-10-06 04:48:00+00:00	user_generated_1490	ppkm menyengsarakan rakyat	2
2024-11-09 12:14:00+00:00	user_generated_571	kebijakan ppkm buruk sekali 💔	2
2024-04-02 12:19:00+00:00	user_generated_15	kebijakan ppkm sangat merugikan benar-benar	2
2024-09-25 20:47:00+00:00	user_generated_494	ppkm bikin rakyat kelaparan yang ada	2
2024-11-17 23:41:00+00:00	user_generated_350	ppkm bikin usaha bangkrut	2
2024-01-19 07:24:00+00:00	user_generated_999	rakyat menderita karena ppkm 😞	2
2024-11-08 10:24:00+00:00	user_generated_274	ppkm menghancurkan ekonomi rakyat	2
2024-01-27 14:55:00+00:00	user_generated_1191	saya menolak ppkm	2
2024-08-25 13:36:00+00:00	user_generated_271	rakyat menderita karena ppkm benar-benar	2
2024-02-18 12:39:00+00:00	user_generated_1473	ppkm merugikan masyarakat	2
2024-12-19 07:47:00+00:00	user_generated_237	pedagang bangkrut karena ppkm 😡	2
2024-03-21 18:50:00+00:00	user_generated_585	ppkm menghancurkan ekonomi rakyat	2
2024-11-04 14:04:00+00:00	user_generated_1312	tidak setuju ppkm terus menerus 😭	2
2024-09-22 08:54:00+00:00	user_generated_694	ppkm tidak efektif ini	2
2024-01-01 06:47:00+00:00	user_generated_1001	ppkm bikin usaha bangkrut	2
2024-12-15 17:50:00+00:00	user_generated_322	ppkm membuat usaha tutup 😤	2
2024-10-11 10:14:00+00:00	user_generated_782	ppkm merugikan pedagang kecil	2
2024-04-23 06:47:00+00:00	user_generated_1358	usaha hancur gara gara ppkm tersebut	2
2024-04-29 18:12:00+00:00	user_generated_1203	kapan ppkm berakhir sudah lelah benar-benar	2
2024-01-10 21:59:00+00:00	user_generated_970	hidup makin susah karena ppkm 😞	2
2024-02-23 11:10:00+00:00	user_generated_1466	ppkm membuat lapangan kerja hilang sungguh 😢	2
2024-05-02 05:39:00+00:00	user_generated_526	ppkm merugikan masyarakat	2
2024-03-03 10:16:00+00:00	user_generated_1425	sangat buruk dampak ppkm	2
2024-04-10 12:20:00+00:00	user_generated_1170	ppkm bikin hutang numpuk	2
2024-08-17 01:37:00+00:00	user_generated_175	menolak aturan ppkm yang ketat	2
2024-03-12 20:00:00+00:00	user_generated_358	bangkrut gara gara ppkm tersebut	2
2024-06-30 13:46:00+00:00	user_generated_43	ppkm membuat rakyat menderita	2
2024-07-22 14:47:00+00:00	user_generated_416	ppkm membuat banyak usaha bangkrut	2
2024-05-09 03:44:00+00:00	user_generated_344	ppkm bikin ekonomi hancur yang ada	2
2024-12-02 20:46:00+00:00	user_generated_1026	capek dengan kebijakan ppkm	2
2024-04-15 14:17:00+00:00	user_generated_1401	ppkm bikin segalanya sulit benar-benar	2
2024-10-24 11:07:00+00:00	user_generated_101	usaha saya bangkrut karena ppkm	2
2024-09-28 06:17:00+00:00	user_generated_107	sangat merugikan kebijakan ppkm	2
2024-07-03 00:15:00+00:00	user_generated_1489	ppkm hancurkan ekonomi	2
2024-06-27 23:04:00+00:00	user_generated_1052	ppkm membuat anak tidak bisa sekolah	2
2024-11-29 03:02:00+00:00	user_generated_964	ppkm membuat banyak usaha bangkrut	2
2024-11-04 18:06:00+00:00	user_generated_380	ppkm membuat lapangan kerja hilang 😞	2
2024-03-18 16:22:00+00:00	user_generated_244	sangat merugikan kebijakan ppkm	2
2024-04-19 06:51:00+00:00	user_generated_1099	kebijakan ppkm sangat merugikan	2
2024-11-01 09:47:00+00:00	user_generated_500	menolak aturan ppkm yang ketat yang ada	2
2024-06-11 14:11:00+00:00	user_generated_700	sangat merugikan kebijakan ppkm	2
2024-01-11 07:52:00+00:00	user_generated_128	ppkm merugikan rakyat kecil saja	2
2024-08-17 19:17:00+00:00	user_generated_239	ppkm bikin banyak orang kehilangan penghasilan sangat	2
2024-03-11 13:29:00+00:00	user_generated_1114	menolak kebijakan ppkm 😢	2
2024-02-06 16:19:00+00:00	user_generated_682	masyarakat menderita akibat ppkm benar-benar	2
2024-08-01 20:31:00+00:00	user_generated_482	ppkm membuat banyak usaha bangkrut	2
2024-10-10 16:34:00+00:00	user_generated_1305	saya tidak setuju ppkm banget	2
2024-11-14 05:45:00+00:00	user_generated_275	saya menolak ppkm	2
2024-10-10 10:12:00+00:00	user_generated_582	ppkm menambah pengangguran benar-benar	2
2024-12-19 05:34:00+00:00	user_generated_203	tidak mendukung perpanjangan ppkm sungguh	2
2024-12-25 22:23:00+00:00	user_generated_32	tidak mendukung aturan ppkm	2
2024-02-02 23:54:00+00:00	user_generated_1319	pedagang bangkrut karena ppkm yang ada	2
2024-04-06 09:36:00+00:00	user_generated_813	ppkm membuat hidup semakin sulit	2
2024-09-28 21:56:00+00:00	user_generated_997	sangat buruk dampak ppkm	2
2024-01-05 19:37:00+00:00	user_generated_381	usaha hancur gara gara ppkm 💔	2
2024-07-15 18:17:00+00:00	user_generated_1073	ppkm tidak berhasil 😤	2
2024-11-26 22:20:00+00:00	user_generated_1348	ppkm bikin usaha bangkrut	2
2024-02-17 02:28:00+00:00	user_generated_578	ppkm menyengsarakan pedagang	2
2024-11-10 21:46:00+00:00	user_generated_887	ekonomi hancur karena ppkm 😤	2
2024-11-27 00:31:00+00:00	user_generated_1325	ppkm tidak berhasil	2
2024-11-19 12:39:00+00:00	user_generated_1326	ppkm berdampak buruk tersebut	2
2024-05-07 11:14:00+00:00	user_generated_941	ppkm merugikan masyarakat 😭	2
2024-09-12 08:03:00+00:00	user_generated_163	sangat menyengsarakan ppkm ini	2
2024-08-27 00:56:00+00:00	user_generated_909	bangkrut gara gara ppkm sungguh	2
2024-09-04 02:04:00+00:00	user_generated_297	menolak aturan ppkm yang ketat	2
2024-02-23 01:31:00+00:00	user_generated_755	ppkm tidak berhasil	2
2024-04-22 09:21:00+00:00	user_generated_405	lelah dengan ppkm	2
2024-12-02 08:05:00+00:00	user_generated_968	usaha saya bangkrut karena ppkm	2
2024-09-20 11:58:00+00:00	user_generated_605	sangat buruk dampak ppkm 😭	2
2024-04-22 15:47:00+00:00	user_generated_420	ppkm bikin hidup susah	2
2024-04-30 18:16:00+00:00	user_generated_464	tidak setuju dengan aturan ppkm	2
2024-04-23 20:12:00+00:00	user_generated_1187	ppkm berdampak buruk	2
2024-12-07 11:02:00+00:00	user_generated_939	bangkrut gara gara ppkm tersebut	2
2024-06-14 15:13:00+00:00	user_generated_192	ppkm hanya menyengsarakan rakyat kecil	2
2024-09-19 11:12:00+00:00	user_generated_674	ppkm bikin hidup susah benar-benar	2
2024-11-14 05:18:00+00:00	user_generated_351	pedagang menderita karena ppkm saat ini	2
2024-08-06 07:28:00+00:00	user_generated_858	kasihan rakyat karena ppkm yang ada	2
2024-07-22 23:29:00+00:00	user_generated_63	rakyat menderita karena ppkm	2
2024-04-04 02:22:00+00:00	user_generated_1173	ppkm tidak adil untuk pedagang	2
2024-08-14 11:14:00+00:00	user_generated_765	menolak perpanjangan ppkm	2
2024-03-15 04:55:00+00:00	user_generated_1440	ppkm membuat ekonomi semakin sulit	2
2024-07-20 05:40:00+00:00	user_generated_261	kebijakan ppkm tidak efektif sama sekali benar-benar	2
2024-03-21 07:05:00+00:00	user_generated_342	ekonomi hancur karena ppkm	2
2024-02-06 07:20:00+00:00	user_generated_1220	menolak kebijakan ppkm ini 😢	2
2024-08-23 15:57:00+00:00	user_generated_471	kebijakan ppkm menyengsarakan masyarakat	2
2024-08-23 00:39:00+00:00	user_generated_1334	ppkm menghancurkan ekonomi rakyat	2
2024-06-04 20:41:00+00:00	user_generated_198	tidak mendukung ppkm 💔	2
2024-08-19 16:54:00+00:00	user_generated_1231	ppkm tidak ada gunanya	2
2024-04-05 12:16:00+00:00	user_generated_917	ppkm membuat usaha tutup sekarang	2
2024-04-22 16:20:00+00:00	user_generated_743	ppkm membuat rakyat menderita	2
2024-11-03 07:40:00+00:00	user_generated_570	bangkrut gara gara ppkm	2
2024-12-12 14:39:00+00:00	user_generated_218	ppkm berdampak buruk yang ada	2
2024-07-04 06:35:00+00:00	user_generated_453	kebijakan ppkm sangat tidak adil	2
2024-11-10 20:10:00+00:00	user_generated_30	kebijakan ppkm tidak efektif sama sekali banget	2
2024-07-17 12:06:00+00:00	user_generated_56	ppkm bikin hutang numpuk sekali	2
2024-03-15 23:41:00+00:00	user_generated_1210	sangat menyengsarakan ppkm ini	2
2024-05-02 00:28:00+00:00	user_generated_1385	ppkm merugikan rakyat	2
2024-08-19 11:42:00+00:00	user_generated_1065	menolak aturan ppkm yang ketat	2
2024-10-11 16:47:00+00:00	user_generated_430	ekonomi hancur karena ppkm	2
2024-11-11 20:28:00+00:00	user_generated_724	kebijakan ppkm menyengsarakan masyarakat	2
2024-01-23 21:28:00+00:00	user_generated_1144	tidak adil kebijakan ppkm ini sungguh	2
2024-01-15 11:47:00+00:00	user_generated_1005	ppkm gagal mengatasi pandemi	2
2024-09-26 09:32:00+00:00	user_generated_1050	kapan ppkm berakhir sudah lelah yang ada	2
2024-02-25 06:14:00+00:00	user_generated_1345	ppkm bikin ekonomi hancur	2
2024-05-07 07:50:00+00:00	user_generated_1236	lelah dengan ppkm 💔	2
2024-10-10 21:31:00+00:00	user_generated_1235	tidak adil kebijakan ppkm ini	2
2024-08-20 00:56:00+00:00	user_generated_1448	ppkm menyengsarakan rakyat 😤	2
2024-07-17 10:38:00+00:00	user_generated_620	ppkm tidak berhasil	2
2024-01-11 20:07:00+00:00	user_generated_1067	kebijakan ppkm tidak efektif sama sekali	2
2024-01-31 19:31:00+00:00	user_generated_838	kebijakan ppkm sangat merugikan	2
2024-05-30 15:58:00+00:00	user_generated_99	sangat merugikan kebijakan ppkm	2
2024-07-27 13:39:00+00:00	user_generated_532	ppkm bikin ekonomi hancur	2
2024-02-18 08:41:00+00:00	user_generated_528	sangat merugikan kebijakan ppkm ini 😤	2
2024-08-12 05:03:00+00:00	user_generated_1346	ppkm tidak ada gunanya	2
2024-02-27 02:59:00+00:00	user_generated_1172	ppkm sangat buruk	2
2024-12-21 14:04:00+00:00	user_generated_1178	ppkm tidak berhasil	2
2024-08-23 23:18:00+00:00	user_generated_629	ppkm merugikan rakyat	2
2024-07-29 07:20:00+00:00	user_generated_1027	ppkm menghancurkan ekonomi rakyat sangat	2
2024-10-14 20:23:00+00:00	user_generated_270	bangkrut gara gara ppkm	2
2024-06-24 06:32:00+00:00	user_generated_1341	ppkm menyengsarakan warga benar-benar	2
2024-10-16 07:07:00+00:00	user_generated_626	ppkm tidak adil untuk pedagang yang ada	2
2024-02-17 06:44:00+00:00	user_generated_1042	menolak keras ppkm 😞	2
2024-05-03 06:02:00+00:00	user_generated_976	tidak setuju ppkm diperpanjang 💔	2
2024-01-06 15:27:00+00:00	user_generated_371	sudah lelah dengan ppkm	2
2024-05-29 06:00:00+00:00	user_generated_588	ppkm membuat rakyat menderita ini 😤	2
2024-12-17 18:50:00+00:00	user_generated_967	saya tidak setuju ppkm	2
2024-02-23 10:47:00+00:00	user_generated_1165	saya tidak setuju ppkm	2
2024-10-11 21:30:00+00:00	user_generated_1146	ppkm bikin rakyat kelaparan	2
2024-10-07 01:11:00+00:00	user_generated_236	kebijakan ppkm tidak efektif sama sekali	2
2024-02-02 07:05:00+00:00	user_generated_596	ekonomi hancur karena ppkm	2
2024-10-06 02:15:00+00:00	user_generated_962	sangat menyengsarakan ppkm ini sangat	2
2024-04-26 14:36:00+00:00	user_generated_1445	ppkm membuat hidup semakin sulit	2
2024-12-21 02:43:00+00:00	user_generated_1163	ppkm gagal mengatasi pandemi sekarang 😤	2
2024-08-20 13:03:00+00:00	user_generated_590	ppkm hanya menyengsarakan rakyat kecil	2
2024-03-29 22:22:00+00:00	user_generated_208	kebijakan ppkm sangat tidak adil	2
2024-10-29 19:33:00+00:00	user_generated_1074	tidak setuju ppkm terus menerus 😞	2
2024-08-30 07:11:00+00:00	user_generated_899	ppkm tidak adil untuk pedagang	2
2024-09-04 20:57:00+00:00	user_generated_353	kebijakan ppkm buruk sekali	2
2024-12-17 06:25:00+00:00	user_generated_58	saya tidak setuju dengan kebijakan ppkm sekarang 😡	2
2024-09-12 02:02:00+00:00	user_generated_303	masyarakat menderita akibat ppkm sekali	2
2024-02-20 17:22:00+00:00	user_generated_1447	ppkm bikin orang menderita 😤	2
2024-06-04 16:21:00+00:00	user_generated_843	ppkm menyengsarakan rakyat yang ada 😭	2
2024-04-13 10:25:00+00:00	user_generated_1261	kebijakan ppkm buruk sekali banget	2
2024-06-25 02:59:00+00:00	user_generated_1430	ppkm menyengsarakan warga	2
2024-08-06 04:38:00+00:00	user_generated_1209	ppkm membuat lapangan kerja hilang	2
2024-05-28 20:58:00+00:00	user_generated_367	sangat merugikan kebijakan ppkm	2
2024-07-21 03:07:00+00:00	user_generated_1357	ppkm tidak adil tersebut 😢	2
2024-12-09 23:16:00+00:00	user_generated_1197	ppkm membuat hidup semakin sulit saat ini 😤	2
2024-11-21 00:32:00+00:00	user_generated_1304	hidup makin susah karena ppkm sungguh	2
2024-04-07 06:07:00+00:00	user_generated_1232	sudah lelah dengan ppkm 😡	2
2024-09-06 09:05:00+00:00	user_generated_704	hidup makin susah karena ppkm	2
2024-03-07 02:06:00+00:00	user_generated_233	ppkm membuat ekonomi semakin sulit	2
2024-11-04 10:06:00+00:00	user_generated_618	buruk kebijakan ppkm ini	2
2024-07-27 09:16:00+00:00	user_generated_196	menolak keras ppkm sungguh	2
2024-07-08 00:14:00+00:00	user_generated_1259	ppkm menyengsarakan rakyat 😤	2
2024-12-17 03:47:00+00:00	user_generated_81	ppkm membuat anak tidak bisa sekolah 😡	2
2024-04-15 15:50:00+00:00	user_generated_1404	masyarakat menderita akibat ppkm 😡	2
2024-08-09 18:33:00+00:00	user_generated_597	capek dengan kebijakan ppkm tersebut	2
2024-04-04 10:47:00+00:00	user_generated_1156	sangat merugikan kebijakan ppkm 💔	2
2024-09-05 20:34:00+00:00	user_generated_111	ppkm bikin orang menderita	2
2024-10-01 03:07:00+00:00	user_generated_1276	tidak setuju kebijakan ppkm ini	2
2024-04-03 02:06:00+00:00	user_generated_780	saya tidak setuju ppkm ini	2
2024-12-05 12:41:00+00:00	user_generated_983	tidak adil kebijakan ppkm ini 😤	2
2024-08-28 02:21:00+00:00	user_generated_799	tidak mendukung aturan ppkm	2
2024-06-29 17:45:00+00:00	user_generated_1265	ppkm merugikan pedagang kecil 😞	2
2024-05-16 03:22:00+00:00	user_generated_1150	ppkm menghilangkan mata pencaharian	2
2024-06-17 09:27:00+00:00	user_generated_824	ppkm merugikan rakyat ini	2
2024-07-22 14:49:00+00:00	user_generated_382	capek dengan kebijakan ppkm tersebut 😞	2
2024-12-21 18:36:00+00:00	user_generated_538	ppkm merugikan pedagang kecil	2
2024-07-05 08:52:00+00:00	user_generated_1493	kebijakan ppkm buruk sekali 😭	2
2024-07-06 00:28:00+00:00	user_generated_1112	ppkm membuat anak tidak bisa sekolah 😭	2
2024-10-10 14:30:00+00:00	user_generated_324	hidup makin susah karena ppkm	2
2024-11-12 20:03:00+00:00	user_generated_361	ppkm membuat anak tidak bisa sekolah	2
2024-05-04 08:28:00+00:00	user_generated_1487	pedagang menderita karena ppkm	2
2024-05-08 21:32:00+00:00	user_generated_1029	ppkm membuat banyak usaha bangkrut	2
2024-09-20 10:54:00+00:00	user_generated_707	ppkm membuat anak tidak bisa sekolah	2
2024-08-20 08:46:00+00:00	user_generated_332	ppkm menyengsarakan warga benar-benar	2
2024-08-22 13:19:00+00:00	user_generated_429	menolak aturan ppkm yang ketat benar-benar 😭	2
2024-12-31 21:20:00+00:00	user_generated_1242	ppkm bikin hidup susah tersebut	2
2024-01-16 12:25:00+00:00	user_generated_425	sangat menyengsarakan ppkm ini	2
2024-01-07 15:27:00+00:00	user_generated_628	ppkm merugikan masyarakat 😡	2
2024-07-24 01:30:00+00:00	user_generated_1111	ppkm tidak adil	2
2024-09-03 07:46:00+00:00	user_generated_677	ppkm menyengsarakan warga sangat 😭	2
2024-11-11 00:00:00+00:00	user_generated_693	ppkm tidak adil	2
2024-06-10 07:45:00+00:00	user_generated_757	ppkm bikin rakyat kelaparan	2
2024-09-04 20:27:00+00:00	user_generated_254	menolak kebijakan ppkm	2
2024-05-07 15:54:00+00:00	user_generated_1094	ppkm tidak adil 😢	2
2024-10-16 01:08:00+00:00	user_generated_916	ppkm merugikan masyarakat	2
